Name,2MASS Name,WISE Name,SDSS Name,Other Name,DiscRef,R.A. (h:m:s),Decl. (d:m:s),R.A. (deg),Decl. (deg),SpT_OPT,Ref,SpT_NIR,Ref,Peculiarities,Ref,Candidacy,Type,Ref,D_Trig,eD_Trig-,eD_Trig+,Ref,2MASS-WISE-μα,2MASS-WISE-μδ,μα,μδ,Ref,RV,Ref,2MASS-J,2MASS-H,2MASS-K,WISE-W1,WISE-W2,WISE-W3,WISE-W4,USNO-B,USNO-R,SDSS-u’,SDSS-g’,SDSS-r’,SDSS-i’,SDSS-z’,DENIS-I,DENIS-J,DENIS-KS,CSS-I,UCAC4-R,UCAC4-I,IRAC-ch1,Ref,IRAC-ch2,Ref,IRAC-ch3,Ref,IRAC-ch4,Ref,MKO-Y,Ref,MKO-J,Ref,MKO-H,Ref,MKO-K,Ref,MKO-L’,Ref,CH4on,Ref,CFHT-Y,Ref,VJ,Ref,RC,Ref,IC,Ref,InDwarfArchive,Comments
J1531+5211,15310186+5211307,153101.90+521130.6,,,West2008,15:31:02,52:11:31,232.75793,52.19184,M6,West2008,...,...,...,...,...,...,...,,,,,33.9 ± 12.6,-3.8 ± 27.7,,,,,,16.364 ± 0.124,16.019 ± 0.193,>15.921,15.375 ± 0.033,15.278 ± 0.063,13.597,,,,24.77 ± 1.14,23.71 ± 0.33,21.69 ± 0.09,19.43 ± 0.03,18.21 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1531+5303,15310345+5303402,153103.50+530339.7,,,West2008,15:31:03,53:03:40,232.76453,53.06122,M6,West2008,...,...,...,...,...,...,...,,,,,41.7 ± 12.0,-43.4 ± 25.1,,,,,,16.435 ± 0.117,15.529 ± 0.132,15.159 ± 0.173,15.147 ± 0.032,14.888 ± 0.050,13.144,,,,24.17 ± 0.86,22.89 ± 0.15,21.33 ± 0.06,19.15 ± 0.02,17.96 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1531+4923,15310437+4923097,153104.34+492309.8,,,West2008,15:31:04,49:23:10,232.76826,49.38598,M6,West2008,...,...,...,...,...,...,...,,,,,-30.6 ± 17.8,6.5 ± 35.1,,,,,,16.489 ± 0.130,15.942 ± 0.171,15.614 ± 0.251,15.542 ± 0.034,15.520 ± 0.073,13.487,,,,22.97 ± 0.59,22.88 ± 0.17,21.36 ± 0.08,19.24 ± 0.03,18.20 ± 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1531+3752,15311003+3752564,153110.03+375256.3,,,West2008,15:31:10,37:52:56,232.79182,37.88234,M6,West2008,...,...,...,...,...,...,...,,,,,-2.6 ± 8.5,-6.1 ± 11.7,,,,,,15.481 ± 0.044,14.887 ± 0.058,14.520 ± 0.078,14.329 ± 0.027,14.199 ± 0.037,12.888,,,,24.83 ± 1.29,21.60 ± 0.05,20.05 ± 0.03,18.22 ± 0.02,17.08 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1531+5903,15312035+5903382,,,,West2008,15:31:20,59:03:38,232.83466,59.06062,M7,West2008,...,...,...,...,...,...,...,,,,,,,,,,,,16.825 ± 0.173,16.206 ± 0.215,15.532 ± 0.219,,,,,,,23.83 ± 0.91,24.09 ± 0.48,23.25 ± 0.33,20.18 ± 0.04,18.70 ± 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1531+3444,15312577+3444326,153125.75+344431.9,,,West2008,15:31:26,34:44:32,232.85735,34.74227,M6,West2008,...,...,...,...,...,...,...,,,,,-19.6 ± 15.6,-57.4 ± 21.3,,,,,,16.411 ± 0.097,15.525 ± 0.104,15.608 ± 0.159,15.411 ± 0.037,15.262 ± 0.074,13.356,,,,24.45 ± 0.93,22.44 ± 0.10,21.14 ± 0.05,19.11 ± 0.02,18.10 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1531+4134,15312900+4134225,153129.06+413422.8,,,West2008,15:31:29,41:34:23,232.8711,41.57297,M6,West2008,...,...,...,...,...,...,...,,,,,53.5 ± 15.5,30.5 ± 29.1,,,,,,16.435 ± 0.108,15.975 ± 0.157,15.537 ± 0.208,15.407 ± 0.034,15.153 ± 0.058,13.235 ± 0.406,,,,24.90 ± 1.02,23.30 ± 0.18,21.36 ± 0.05,19.38 ± 0.02,18.18 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1531+5433,15313913+5433383,153139.13+543338.3,,,West2008,15:31:39,54:33:38,232.91305,54.56068,M9,West2008,...,...,...,...,...,...,...,,,,,-3.9 ± 5.7,-0.6 ± 14.7,,,,,,15.362 ± 0.046,14.678 ± 0.052,14.338 ± 0.075,13.823 ± 0.025,13.597 ± 0.028,12.231 ± 0.168,,,,24.77 ± 1.00,23.95 ± 0.31,22.05 ± 0.10,19.34 ± 0.02,17.56 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1531+5152,15314084+5152218,153140.80+515223.4,,,West2008,15:31:41,51:52:22,232.92013,51.87279,M6,West2008,...,...,...,...,...,...,...,,,,,-36.4 ± 5.4,150.8 ± 10.3,,,,,,14.731 ± 0.032,14.110 ± 0.035,13.812 ± 0.054,13.598 ± 0.023,13.388 ± 0.025,12.99,,,,23.30 ± 0.54,21.11 ± 0.04,19.50 ± 0.02,17.49 ± 0.01,16.38 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1531-0210,15314222-0210392,153142.25-021040.3,,,West2008,15:31:42,-2:10:40,232.92597,-2.17767,M7,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,34.2 ± 16.6,-100.2 ± 16.8,,,,,,15.863 ± 0.089,15.155 ± 0.101,15.009 ± 0.149,14.573 ± 0.033,14.330 ± 0.060,12.763,,,,25.70 ± 0.97,23.18 ± 0.23,21.83 ± 0.09,19.20 ± 0.02,17.74 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1531+4624,15314505+4624573,153144.88+462457.0,,,West2008,15:31:45,46:24:57,232.93741,46.41586,M7,West2008,...,...,...,...,...,...,...,,,,,-150.3 ± 9.2,-27.9 ± 15.3,,,,,,15.834 ± 0.058,15.586 ± 0.102,15.040 ± 0.152,14.873 ± 0.028,14.640 ± 0.042,13.533,,,,24.80 ± 1.10,23.08 ± 0.18,21.99 ± 0.11,19.09 ± 0.02,17.68 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1531+4201,15314974+4201576,153149.72+420157.7,,,West2008,15:31:50,42:01:58,232.95731,42.03268,M6,West2008,...,...,...,...,...,...,...,,,,,-21.2 ± 9.5,12.5 ± 12.7,,,,,,15.953 ± 0.071,15.323 ± 0.083,14.804 ± 0.119,14.775 ± 0.028,14.578 ± 0.039,13.542,,,,24.46 ± 0.85,22.55 ± 0.10,21.06 ± 0.04,18.90 ± 0.02,17.69 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1531+4243,15315473+4243302,153154.35+424333.3,,,West2008,15:31:55,42:43:31,232.97753,42.72537,M7,West2008,...,...,...,...,...,...,...,,,,,-350.6 ± 9.0,252.7 ± 10.1,,,,,,13.779 ± 0.024,13.164 ± 0.024,12.789 ± 0.027,12.512 ± 0.023,12.288 ± 0.021,11.781 ± 0.095,,,,23.57 ± 1.00,21.32 ± 0.05,19.44 ± 0.02,16.97 ± 0.01,15.57 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1532+4504,15320198+4504197,153201.95+450419.8,,,West2008,15:32:02,45:04:20,233.0082,45.07217,M9,West2008,...,...,...,...,...,...,...,,,,,-24.1 ± 5.7,2.5 ± 8.7,,,,,,14.612 ± 0.023,13.945 ± 0.030,13.535 ± 0.041,13.217 ± 0.024,12.970 ± 0.024,12.921 ± 0.311,,,,23.18 ± 0.31,22.63 ± 0.14,20.96 ± 0.06,18.40 ± 0.02,16.77 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1532+3444,15320237+3444304,,,,West2008,15:32:02,34:44:30,233.00997,34.74165,M6,West2008,...,...,...,...,...,...,...,,,,,,,,,,,,15.758 ± 0.056,15.065 ± 0.075,14.493 ± 0.068,,,,,,,24.35 ± 0.94,22.97 ± 0.16,21.29 ± 0.06,18.85 ± 0.02,17.57 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1532+5026,15320987+5026527,153209.91+502653.2,,,West2008,15:32:10,50:26:53,233.04119,50.44803,M7,West2008,...,...,...,...,...,...,...,,,,,36.0 ± 6.7,44.9 ± 12.0,,,,,,15.383 ± 0.057,14.974 ± 0.082,14.271 ± 0.080,14.266 ± 0.026,14.023 ± 0.031,12.814,,,,22.71 ± 0.50,22.68 ± 0.14,21.61 ± 0.10,18.88 ± 0.03,17.39 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1532+5457,15321907+5457314,153219.05+545730.6,,,West2008,15:32:19,54:57:31,233.07952,54.9587,M7,West2008,...,...,...,...,...,...,...,,,,,-12.9 ± 6.0,-74.7 ± 14.9,,,,,,15.162 ± 0.046,14.536 ± 0.046,14.217 ± 0.072,13.984 ± 0.025,13.753 ± 0.029,13.346,,,,23.84 ± 0.66,22.69 ± 0.12,21.10 ± 0.04,18.45 ± 0.02,17.02 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1532+3906,15322198+3906094,153222.01+390609.0,,,West2008,15:32:22,39:06:09,233.09167,39.10256,M7,West2008,...,...,...,...,...,...,...,,,,,29.6 ± 8.5,-38.2 ± 11.8,,,,,,15.717 ± 0.056,14.917 ± 0.063,14.674 ± 0.092,14.515 ± 0.028,14.311 ± 0.039,12.916 ± 0.336,,,,23.07 ± 0.50,22.83 ± 0.15,21.20 ± 0.06,18.82 ± 0.02,17.55 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1532+5315,15322655+5315192,153226.56+531519.3,,,West2008,15:32:27,53:15:19,233.11076,53.25539,M6,West2008,...,...,...,...,...,...,...,,,,,9.3 ± 14.3,8.0 ± 35.3,,,,,,16.336 ± 0.113,15.920 ± 0.175,15.690 ± 0.263,15.363 ± 0.033,15.185 ± 0.061,12.84,,,,25.06 ± 1.06,22.81 ± 0.14,21.03 ± 0.05,19.15 ± 0.02,18.10 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1532+0243,15323338+0243086,153233.37+024309.0,,,West2008,15:32:33,2:43:09,233.13912,2.7191,M7,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-22.1 ± 40.8,35.1 ± 42.0,,,,,,16.701 ± 0.132,16.071 ± 0.152,>15.77,15.783 ± 0.063,15.699 ± 0.180,12.74,,,,25.61 ± 1.09,23.90 ± 0.47,22.73 ± 0.24,20.16 ± 0.04,18.63 ± 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1532+4535,15323545+4535470,153235.44+453547.4,,,West2008,15:32:35,45:35:47,233.14772,45.59647,M6,West2008,...,...,...,...,...,...,...,,,,,-12.0 ± 13.4,31.9 ± 22.4,,,,,,16.790 ± 0.138,15.899 ± 0.134,>15.558,15.721 ± 0.037,15.567 ± 0.077,13.513,,,,25.28 ± 1.03,23.02 ± 0.18,21.63 ± 0.09,19.43 ± 0.03,18.30 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1532+4935,15323817+4935429,,,,West2008,15:32:38,49:35:43,233.15892,49.59531,M6,West2008,...,...,...,...,...,...,...,,,,,,,,,,,,16.151 ± 0.104,15.669 ± 0.124,15.189 ± 0.174,,,,,,,24.91 ± 0.98,22.83 ± 0.12,21.23 ± 0.05,19.13 ± 0.02,18.03 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1532-0228,15323886-0228499,153238.84-022850.5,,,West2008,15:32:39,-2:28:50,233.16198,-2.48062,M7,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-32.7 ± 27.8,-54.0 ± 30.5,,,,,,16.612 ± 0.158,15.799 ± 0.160,>15.675,15.308 ± 0.047,15.074 ± 0.100,12.704,,,,25.02 ± 1.10,24.03 ± 0.39,22.87 ± 0.20,20.08 ± 0.03,18.42 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1532+3716,15324133+3716270,153241.31+371627.4,,,West2008,15:32:41,37:16:27,233.17216,37.2742,M6,West2008,...,...,...,...,...,...,...,,,,,-17.9 ± 8.3,32.7 ± 10.9,,,,,,15.491 ± 0.046,14.866 ± 0.054,14.420 ± 0.072,14.329 ± 0.027,14.102 ± 0.037,13.307,,,,25.14 ± 0.83,21.82 ± 0.07,20.25 ± 0.03,18.27 ± 0.01,17.17 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1532+4308,15324927+4308273,153249.25+430827.6,,,West2008,15:32:49,43:08:28,233.20521,43.14102,M6,West2008,...,...,...,...,...,...,...,,,,,-19.7 ± 21.2,21.9 ± 36.4,,,,,,17.204 ± 0.198,16.016 ± 0.150,15.770 ± 0.286,15.589 ± 0.035,15.449 ± 0.065,13.745,,,,24.88 ± 1.17,23.37 ± 0.25,21.43 ± 0.08,19.47 ± 0.03,18.38 ± 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1532+5245,15325081+5245245,153250.79+524524.0,,,West2008,15:32:51,52:45:24,233.21171,52.75679,M6,West2008,...,...,...,...,...,...,...,,,,,-21.4 ± 8.3,-39.4 ± 16.5,,,,,,15.968 ± 0.103,15.309 ± 0.115,15.383 ± 0.241,14.949 ± 0.029,14.731 ± 0.045,13.629,,,,24.28 ± 0.88,22.41 ± 0.10,20.86 ± 0.04,18.75 ± 0.02,17.63 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1532+5932,15325233+5932287,153252.35+593228.0,,,West2008,15:32:52,59:32:29,233.21809,59.54131,M6,West2008,...,...,...,...,...,...,...,,,,,14.0 ± 9.1,-61.8 ± 30.0,,,,,,16.498 ± 0.120,15.727 ± 0.153,>15.133,15.376 ± 0.036,15.158 ± 0.064,13.391,,,,25.59 ± 1.00,23.06 ± 0.22,21.74 ± 0.09,19.46 ± 0.03,18.24 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1533+4201,15330535+4201348,153305.38+420134.5,,,West2008,15:33:05,42:01:35,233.27236,42.02626,M7,West2008,...,...,...,...,...,...,...,,,,,23.3 ± 15.3,-28.0 ± 25.8,,,,,,16.665 ± 0.133,16.148 ± 0.174,>15.98,15.680 ± 0.037,15.537 ± 0.076,13.066,,,,23.40 ± 0.69,23.59 ± 0.26,23.19 ± 0.30,20.06 ± 0.03,18.79 ± 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1533-0054,15330918-0054211,153309.21-005421.4,,,West2008,15:33:09,23:05:38,233.28825,-0.9059,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,47.2 ± 13.7,-26.3 ± 13.4,,,,,,15.447 ± 0.066,14.618 ± 0.055,14.328 ± 0.079,14.114 ± 0.029,13.897 ± 0.045,12.794,,,,23.75 ± 0.78,22.45 ± 0.12,20.70 ± 0.04,18.40 ± 0.02,17.10 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1533+3040,15330927+3040443,,,,West2008,15:33:09,30:40:44,233.2887,30.67902,M6,West2008,...,...,...,...,...,...,...,,,,,,,,,,,,16.901 ± 0.177,15.934 ± 0.160,15.289 ± 0.134,,,,,,,23.50 ± 0.65,23.11 ± 0.16,21.59 ± 0.06,19.40 ± 0.02,18.17 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1533-2205,15330937-2205069,,,,,15:33:09,-22:05:07,233.28908,-22.08526,M8.5,Reid2008,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1533+3613,15334861+3613443,153348.37+361344.1,,,West2008,15:33:49,36:13:44,233.45214,36.22894,M6,West2008,...,...,...,...,...,...,...,,,,,-264.4 ± 23.1,-11.1 ± 36.1,,,,,,16.746 ± 0.131,16.059 ± 0.153,15.905 ± 0.226,15.745 ± 0.043,15.541 ± 0.091,13.061,,,,25.49 ± 0.65,22.99 ± 0.13,21.50 ± 0.05,19.39 ± 0.02,18.27 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1533+4009,15335002+4009154,153350.00+400916.6,,,West2008,15:33:50,40:09:16,233.45846,40.1544,M6,West2008,...,...,...,...,...,...,...,,,,,-26.9 ± 10.5,108.1 ± 14.3,,,,,,15.977 ± 0.071,15.284 ± 0.077,15.062 ± 0.108,14.833 ± 0.030,14.625 ± 0.048,13.49,,,,24.17 ± 1.08,22.37 ± 0.09,20.95 ± 0.04,18.76 ± 0.02,17.54 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1533+4834,15335204+4834149,153351.96+483415.3,,,West2008,15:33:52,48:34:15,233.46669,48.57081,M7,West2008,...,...,...,...,...,...,...,,,,,-73.2 ± 15.9,31.3 ± 32.9,,,,,,16.375 ± 0.119,15.871 ± 0.151,15.527 ± 0.237,15.250 ± 0.031,15.121 ± 0.055,13.533 ± 0.496,,,,23.39 ± 0.70,23.82 ± 0.35,21.94 ± 0.11,19.35 ± 0.03,18.07 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1533+5804,15335708+5804093,153356.99+580409.4,,,West2008,15:33:57,58:04:09,233.48784,58.0693,M6,West2008,...,...,...,...,...,...,...,,,,,-68.9 ± 6.5,8.7 ± 16.8,,,,,,15.907 ± 0.074,15.034 ± 0.074,14.945 ± 0.133,14.719 ± 0.029,14.593 ± 0.044,12.768,,,,23.80 ± 1.01,22.56 ± 0.14,20.78 ± 0.04,18.71 ± 0.02,17.49 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1533+5259,15335935+5259573,,,,West2008,15:33:59,52:59:57,233.49706,52.99926,M6,West2008,...,...,...,...,...,...,...,,,,,,,,,,,,16.315 ± 0.113,15.830 ± 0.158,15.197 ± 0.176,,,,,,,23.36 ± 0.62,22.20 ± 0.08,20.81 ± 0.04,18.98 ± 0.02,17.94 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1534+3948,15340454+3948054,153404.58+394805.1,,,West2008,15:34:05,39:48:05,233.51912,39.8014,M6,West2008,...,...,...,...,...,...,...,,,,,38.0 ± 19.5,-27.6 ± 29.1,,,,,,16.563 ± 0.114,15.971 ± 0.135,15.854 ± 0.206,15.768 ± 0.042,15.663 ± 0.093,13.411,,,,23.68 ± 0.89,23.00 ± 0.17,21.20 ± 0.05,19.34 ± 0.03,18.29 ± 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1534+4633,15340492+4633023,153404.96+463301.9,,,West2008,15:34:05,46:33:02,233.5207,46.55061,M6,West2008,...,...,...,...,...,...,...,,,,,34.3 ± 11.3,-37.0 ± 20.0,,,,,,16.302 ± 0.101,15.706 ± 0.122,>14.856,15.233 ± 0.033,14.997 ± 0.054,12.997,,,,24.10 ± 1.12,22.38 ± 0.10,21.06 ± 0.05,18.92 ± 0.02,17.82 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1534-0058,15340658-0058005,153406.56-005801.2,,,West2008,15:34:07,23:01:58,233.52744,-0.96686,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-35.7 ± 11.0,-55.8 ± 11.0,,,,,,14.048 ± 0.031,13.390 ± 0.030,13.116 ± 0.034,12.805 ± 0.026,12.593 ± 0.028,12.291 ± 0.387,,,,23.14 ± 0.96,20.93 ± 0.04,19.28 ± 0.02,16.97 ± 0.01,15.73 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1534+4817,15341479+4817481,153414.85+481748.2,,,West2008,15:34:15,48:17:48,233.56173,48.2967,M6,West2008,...,...,...,...,...,...,...,,,,,53.2 ± 6.5,6.5 ± 10.7,,,,,,14.570 ± 0.031,13.947 ± 0.039,13.540 ± 0.043,13.418 ± 0.024,13.183 ± 0.024,13.049 ± 0.331,,,,25.23 ± 0.93,21.55 ± 0.05,20.03 ± 0.02,17.64 ± 0.01,16.33 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1534+3044,15343056+3044194,153430.54+304418.9,,,West2008,15:34:31,30:44:19,233.62728,30.73868,M6,West2008,...,...,...,...,...,...,...,,,,,-18.7 ± 11.1,-42.5 ± 13.9,,,,,,16.055 ± 0.079,15.307 ± 0.090,15.247 ± 0.128,14.866 ± 0.030,14.620 ± 0.049,13.289,,,,24.09 ± 0.63,23.08 ± 0.12,21.17 ± 0.04,19.00 ± 0.02,17.73 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1534+4822,15344258+4822242,153442.58+482224.5,,,West2008,15:34:43,48:22:24,233.67744,48.37346,M7,West2008,...,...,...,...,...,...,...,,,,,3.2 ± 7.6,28.4 ± 14.7,,,,,,15.851 ± 0.078,15.207 ± 0.103,14.845 ± 0.133,14.636 ± 0.027,14.339 ± 0.036,13.492,,,,25.59 ± 0.83,23.56 ± 0.31,22.10 ± 0.12,19.42 ± 0.03,17.93 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1534+4918,15344366+4918124,153443.67+491811.9,,,West2008,15:34:44,49:18:12,233.68193,49.30335,M8,West2008,...,...,...,...,...,...,...,,,,,14.4 ± 8.9,-45.5 ± 16.6,,,,,,16.034 ± 0.086,15.497 ± 0.124,14.964 ± 0.147,14.838 ± 0.028,14.636 ± 0.041,13.043,,,,23.88 ± 0.80,24.53 ± 0.40,22.38 ± 0.11,19.64 ± 0.02,18.04 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1534+5823,15344920+5823222,153449.12+582322.1,,,West2008,15:34:49,58:23:22,233.70498,58.38949,M6,West2008,...,...,...,...,...,...,...,,,,,-55.4 ± 6.1,-6.8 ± 12.8,,,,,,15.706 ± 0.066,15.194 ± 0.082,14.982 ± 0.140,14.554 ± 0.028,14.309 ± 0.039,13.201,,,,23.61 ± 0.76,21.76 ± 0.05,20.47 ± 0.04,18.47 ± 0.02,17.38 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1534+4149,15345152+4149375,153451.49+414937.2,,,West2008,15:34:51,41:49:37,233.71458,41.82695,M6,West2008,...,...,...,...,...,...,...,,,,,-35.3 ± 15.1,-23.2 ± 24.7,,,,,,16.315 ± 0.092,15.845 ± 0.123,15.516 ± 0.164,15.443 ± 0.036,15.299 ± 0.072,12.863,,,,24.28 ± 1.24,23.05 ± 0.17,21.36 ± 0.06,19.37 ± 0.03,18.25 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1534+3059,15345680+3059029,153456.68+305904.9,,,West2008,15:34:57,30:59:04,233.73649,30.98439,M6,West2008,...,...,...,...,...,...,...,,,,,-134.5 ± 8.3,170.2 ± 9.7,,,,,,14.579 ± 0.026,13.924 ± 0.033,13.577 ± 0.032,13.418 ± 0.025,13.218 ± 0.026,12.685 ± 0.275,,,,23.21 ± 0.41,21.40 ± 0.04,19.68 ± 0.02,17.47 ± 0.02,16.28 ± 0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1534-1418,15345704-1418486,153456.30-141852.5,,2MASS J15345700-1418480,,15:34:56,-14:18:48,233.7375,-14.313333,M7,—seebarda—,M8.5,Bardalez-Gagliuffi2014,,,...,...,...,,,,,-901.0 ± 8.0,-325.2 ± 9.3,-915 ± 3,-311 ± 1,...,...,...,11.380 ± 0.019,10.732 ± 0.020,10.305 ± 0.021,10.018 ± 0.024,9.785 ± 0.021,9.467 ± 0.040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1535+3110,15351142+3110508,153511.37+311051.3,,,West2008,15:35:11,31:10:51,233.79751,31.18082,M8,West2008,...,...,...,...,...,...,...,,,,,-53.6 ± 8.0,41.1 ± 10.1,,,,,,15.374 ± 0.049,14.488 ± 0.048,14.175 ± 0.052,13.898 ± 0.025,13.677 ± 0.030,12.96,,,,24.66 ± 0.78,24.14 ± 0.27,22.11 ± 0.08,19.26 ± 0.02,17.50 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1535+3536,15351309+3536403,,,,West2008,15:35:13,35:36:41,233.80458,35.61131,M6,West2008,...,...,...,...,...,...,...,,,,,,,,,,,,16.438 ± 0.119,15.645 ± 0.129,15.286 ± 0.133,,,,,,,24.76 ± 0.82,23.02 ± 0.13,21.40 ± 0.05,19.33 ± 0.02,18.18 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1535+5536,15352877+5536449,153528.78+553644.8,,,West2008,15:35:29,55:36:45,233.86979,55.61255,M8,West2008,...,...,...,...,...,...,...,,,,,13.7 ± 12.7,-10.4 ± 30.1,,,,,,16.495 ± 0.115,15.822 ± 0.150,15.671 ± 0.233,15.334 ± 0.032,15.124 ± 0.054,13.635,,,,24.60 ± 0.92,23.62 ± 0.26,22.14 ± 0.10,20.00 ± 0.03,18.44 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1535+4555,15353985+4555034,153539.89+455503.6,,,West2008,15:35:40,45:55:04,233.91609,45.91764,M6,West2008,...,...,...,...,...,...,...,,,,,32.1 ± 9.1,16.1 ± 16.0,,,,,,16.077 ± 0.078,15.336 ± 0.088,15.077 ± 0.160,14.872 ± 0.028,14.673 ± 0.043,13.28,,,,25.03 ± 0.78,22.59 ± 0.09,21.01 ± 0.04,18.98 ± 0.02,17.82 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1535+4338,15354493+4338208,153544.93+433821.0,,,West2008,15:35:45,43:38:21,233.93729,43.63907,M6,West2008,...,...,...,...,...,...,...,,,,,5.9 ± 11.1,14.8 ± 18.5,,,,,,16.348 ± 0.097,15.571 ± 0.116,>15.176,15.104 ± 0.030,14.999 ± 0.052,13.589,,,,25.26 ± 1.07,23.01 ± 0.17,21.15 ± 0.05,19.21 ± 0.02,18.03 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1535+3521,15354651+3521183,153546.44+352118.6,,,West2008,15:35:46,35:21:19,233.94369,35.35514,M6,West2008,...,...,...,...,...,...,...,,,,,-66.3 ± 13.7,21.7 ± 20.9,,,,,,16.162 ± 0.081,15.505 ± 0.108,15.459 ± 0.152,15.137 ± 0.032,14.830 ± 0.052,12.984,,,,24.39 ± 0.84,22.57 ± 0.10,21.00 ± 0.04,18.97 ± 0.02,17.88 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
